region,locale,administrative_area,site,plot_type,UTM_northing,UTM_easting,plot_ID,area,polygon_ID,polygon_sub_unit,chamber_type,date,flux_CO2,flux_CO2_se,flux_CO2_Pvalue,flux_CO2_Rsquared,flux_CH4,flux_CH4_se,CH4_Pvalue,CH4_Rsquared,,,,,,
,,,,,,,,,,,Opq/Trns,yyyy-mm-dd,umol m-2 s-1,umol m-2 s-1,,,nmol m-2 s-1,nmol m-2 s-1,,,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910413.488,585530.849,A1C,A,1,Ce,Opq,2013-08-07,1.19,0.016,2.00E-16,0.9962,93.447,1.175,2.00E-16,0.9967,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910413.488,585530.849,A1C,A,1,Ce,Trns,2013-08-07,-2.647,0.01105,2.00E-16,0.9994,83.413,0.3214,2.00E-16,0.9995,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910413.488,585530.849,A1C,A,1,Ce,Trns,2013-08-14,-1.956,0.01799,2.00E-16,0.9969,76.75,0.5166,2.00E-16,0.9983,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910413.488,585530.849,A1C,A,1,Ce,Trns,2013-09-05,0.063,0.006,4.75E-09,0.8498,41.08,0.5021,2.00E-16,0.9972,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910413.488,585530.849,A1C,A,1,Ce,Opq,2013-09-08,0.378,0.00423,2.00E-16,0.9946,47.34,0.1317,2.00E-16,0.9997,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910413.488,585530.849,A1C,A,1,Ce,Trns,2013-09-08,0.17,0.00111,2.00E-16,0.9976,46.705,0.2119,2.00E-16,0.9989,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910413.488,585530.849,A1C,A,1,Ce,Opq,2013-07-10,0.614,0.00447,2.00E-16,0.9979,170.11,2.11,2.00E-16,0.994,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910413.488,585530.849,A1C,A,1,Ce,Opq,2013-08-14,0.884,0.0179,2.00E-16,0.989,69.743,1.157,2.00E-16,0.9926,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910413.488,585530.849,A1C,A,1,Ce,Opq,2013-09-05,0.825,0.00916,2.00E-16,0.9949,38.41,0.5633,2.00E-16,0.991,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910413.488,585530.849,A1C,A,1,Ce,Opq,2013-10-03,0.137,0.00224,2.00E-16,0.9795,49.63,0.1673,2.00E-16,0.9991,,,,,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,7910409.429,585531.847,A1E,A,1,Ed,Opq,2013-08-07,1.561,0.01979,2.00E-16,0.9938,22.8,0.3345,2.00E-16,0.9917,,,,,,
