region,locale,administrative_area,site,plot_type,plot_ID,date,upper_depth_of_soil_layer,bottom_depth_of_soil_layer,area,polygon_ID,polygon_sub_unit,polygon_type,Ka,Ka_n,Ka_sd,VWC,VWC_n,VWC_sd,UTM_northing,UTM_easting
,,,,,,yyyy-mm-dd,cm,cm,,,,,,,,%,,%,,
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A1C,2012-08-10,0,10,A,1,Ce,Low,49.60,2,2.26,71.85,2,1.91,7910413.488,585530.849
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A1C,2013-10-03,0,10,A,1,Ce,Low,52.20,3,11.47,73.73,3,9.76,7910413.488,585530.849
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A1C,2013-09-07,0,10,A,1,Ce,Low,66.73,3,2.29,85.90,3,1.82,7910413.488,585530.849
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A1C,2013-08-16,0,10,A,1,Ce,Low,65.13,6,0.76,84.60,6,0.63,7910413.488,585530.849
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A1E,2012-08-10,0,10,A,1,Ed,Low,25.05,2,1.63,38.85,2,1.48,7910409.429,585531.847
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A1E,2013-10-03,0,10,A,1,Ed,Low,13.87,3,2.00,25.93,3,2.57,7910409.429,585531.847
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A1E,2013-08-14,0,10,A,1,Ed,Low,25.13,3,8.73,40.10,3,11.75,7910409.429,585531.847
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A1E,2013-07-10,0,17,A,1,Ed,Low,28.95,4,3.71,45.55,4,5.53,7910409.429,585531.847
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A1E,2013-09-07,0,10,A,1,Ed,Low,28.03,3,2.08,43.83,3,3.91,7910409.429,585531.847
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A1T,2013-10-03,0,10,A,1,Tr,Low,64.60,3,11.37,84.97,3,10.44,7910412.771,585535.482
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A1T,2013-08-16,0,10,A,1,Tr,Low,69.03,6,0.76,87.70,6,0.63,7910412.771,585535.482
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A1T,2013-09-07,0,10,A,1,Tr,Low,69.33,3,2.04,87.93,3,1.61,7910412.771,585535.482
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A4C,2013-10-03,0,10,A,4,Ce,Low,56.33,3,21.72,74.67,3,22.42,7910490.629,585531.746
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A4C,2013-09-07,0,10,A,4,Ce,Low,70.13,3,2.45,88.57,3,1.88,7910490.629,585531.746
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A4C,2013-08-16,0,10,A,4,Ce,Low,69.87,3,0.64,88.37,3,0.46,7910490.629,585531.746
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A4E,2013-09-07,0,10,A,4,Ed,Low,42.67,3,1.31,65.13,3,1.36,7910489.112,585528.975
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A4E,2013-08-14,0,10,A,4,Ed,Low,35.17,3,3.04,55.40,3,5.52,7910489.112,585528.975
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A4E,2013-10-03,0,10,A,4,Ed,Low,16.03,3,1.81,28.50,3,2.01,7910489.112,585528.975
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A4E,2013-07-10,0,17,A,4,Ed,Low,25.40,3,4.79,40.33,3,6.74,7910489.112,585528.975
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A4T,2013-10-03,0,10,A,4,Tr,Low,48.13,3,16.03,69.07,3,14.67,7910490.601,585525.428
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A4T,2013-08-16,0,10,A,4,Tr,Low,69.27,9,2.30,87.97,9,1.87,7910490.601,585525.428
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,A4T,2013-09-07,0,10,A,4,Tr,Low,71.27,3,4.22,90.03,3,3.76,7910490.601,585525.428
North Slope,Barrow,BEO,AB transect,Biogeochemistry,ABHE,2013-07-11,0,17,AB transect,H,Ed,High,18.53,4,2.45,31.38,4,3.15,7910271,585645
North Slope,Barrow,BEO,AB transect,Biogeochemistry,ABHT,2013-07-11,0,17,AB transect,H,Tr,High,13.53,3,1.94,25.43,3,2.61,7910271,585645
North Slope,Barrow,BEO,AB transect,Biogeochemistry,ABTC,2013-07-11,0,17,AB transect,T,Ce,Flat,30.53,3,1.91,48.10,3,2.46,7910327,585645
North Slope,Barrow,BEO,AB transect,Biogeochemistry,ABTE,2013-07-11,0,17,AB transect,T,Ed,Flat,15.77,3,2.31,28.17,3,2.48,7910327,585645
North Slope,Barrow,BEO,AB transect,Biogeochemistry,ABTT,2013-07-11,0,17,AB transect,T,Tr,Flat,68.07,3,1.65,86.90,3,1.28,7910327,585645
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B2C,2012-08-11,0,10,B,2,Ce,High,11.50,3,7.03,20.20,3,12.23,7910279.165,585817.3358
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B2E,2012-08-11,0,10,B,2,Ed,High,16.27,3,8.82,27.63,3,11.48,7910275.129,585818.372
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B2T,2012-08-11,0,10,B,2,Tr,High,64.27,3,5.23,83.97,3,4.15,7910273.123,585820.294
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3C,2012-08-10,0,17,B,3,Ce,High,14.60,3,2.19,26.90,3,2.36,7910293.239,585839.4754
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3C,2013-10-03,0,10,B,3,Ce,High,5.60,3,0.40,9.03,3,0.95,7910293.239,585839.4754
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3C,2012-08-10,0,10,B,3,Ce,High,15.15,2,7.00,26.85,2,9.40,7910293.239,585839.4754
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3C,2013-09-08,0,20,B,3,Ce,High,24.10,3,3.00,38.73,3,4.26,7910293.239,585839.4754
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3C,2013-08-16,0,10,B,3,Ce,High,17.60,6,1.24,30.30,6,1.47,7910293.239,585839.4754
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3C,2013-09-05,0,10,B,3,Ce,High,19.80,3,5.81,32.77,3,6.79,7910293.239,585839.4754
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3C,2013-07-12,0,17,B,3,Ce,High,14.73,3,3.46,26.57,3,4.61,7910293.239,585839.4754
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3E,2012-08-10,0,10,B,3,Ed,High,17.00,2,17.25,26.75,2,27.79,7910295.087,585842.491
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3E,2013-08-16,0,10,B,3,Ed,High,12.13,6,0.63,23.77,6,1.13,7910295.087,585842.491
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3E,2013-09-05,0,10,B,3,Ed,High,16.10,2,0.14,28.50,2,0.14,7910295.087,585842.491
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3E,2013-07-12,0,17,B,3,Ed,High,14.90,3,3.97,27.10,3,4.98,7910295.087,585842.491
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3E,2013-10-03,0,10,B,3,Ed,High,6.37,3,1.16,11.20,3,3.04,7910295.087,585842.491
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3P,2012-08-10,0,10,B,3,P,High,78.40,1,0.00,97.70,1,0.00,7910298,585842
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3T,2013-10-03,0,10,B,3,Tr,High,35.83,3,19.56,54.90,3,25.49,7910298.059,585843.417
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3T,2013-09-05,0,10,B,3,Tr,High,65.47,3,3.89,84.83,3,3.07,7910298.059,585843.417
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3T,2012-08-10,0,10,B,3,Tr,High,43.80,2,10.75,65.30,2,11.46,7910298.059,585843.417
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3T,2013-08-16,0,10,B,3,Tr,High,68.60,6,0.97,87.33,6,0.74,7910298.059,585843.417
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3T,2013-07-30,0,17,B,3,Tr,High,48.87,3,3.44,71.10,3,3.12,7910298.059,585843.417
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,B3T,2013-07-12,0,17,B,3,Tr,High,43.50,3,7.61,65.23,3,8.62,7910298.059,585843.417
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3C,2013-08-16,0,10,C,3,Ce,Flat,53.97,3,3.76,75.53,3,3.19,7910369.982,585955.904
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3C,2013-07-12,0,17,C,3,Ce,Flat,32.33,3,2.12,50.57,3,3.38,7910369.982,585955.904
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3C,2013-10-03,0,10,C,3,Ce,Flat,16.37,3,3.76,28.97,3,4.50,7910369.982,585955.904
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3C,2012-08-11,0,10,C,3,Ce,Flat,35.10,1,0.00,55.20,1,0.00,7910369.982,585955.904
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3C,2013-09-04,0,10,C,3,Ce,Flat,45.27,3,5.25,69.33,3,2.50,7910369.982,585955.904
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3E,2013-10-03,0,10,C,3,Ed,Flat,7.43,3,1.07,13.80,3,2.77,7910372.304,585950.088
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3E,2013-09-04,0,10,C,3,Ed,Flat,25.30,3,9.11,45.53,3,18.15,7910372.304,585950.088
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3E,2013-08-16,0,10,C,3,Ed,Flat,21.03,3,4.98,34.40,3,5.94,7910372.304,585950.088
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3E,2012-08-11,0,10,C,3,Ed,Flat,18.50,1,0.00,31.40,1,0.00,7910372.304,585950.088
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3E,2013-07-12,0,17,C,3,Ed,Flat,22.27,3,7.37,36.57,3,9.98,7910372.304,585950.088
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3T,2013-08-24,0,10,C,3,Tr,Flat,72.00,2,4.24,90.70,2,4.38,7910372.107,585947.409
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3T,2012-08-11,0,10,C,3,Tr,Flat,51.80,1,0.00,73.70,1,0.00,7910372.107,585947.409
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3T,2013-07-12,0,17,C,3,Tr,Flat,59.53,3,3.96,80.13,3,3.23,7910372.107,585947.409
North Slope,Barrow,BEO,Intensive site 1,Biogeochemistry,C3T,2013-10-03,0,10,C,3,Tr,Flat,28.18,5,17.61,44.56,5,23.08,7910372.107,585947.409
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z210C,2013-07-11,0,17,Site 0 transect,210,Ce,Flat,27.33,3,3.45,43.40,3,5.22,7910146,585488
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z210C,2013-10-05,0,10,Site 0 transect,210,Ce,Flat,9.77,3,1.88,19.17,3,4.04,7910146,585488
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z210C,2013-08-16,0,10,Site 0 transect,210,Ce,Flat,27.30,10,4.23,43.26,10,6.35,7910146,585488
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z210C,2013-09-07,0,10,Site 0 transect,210,Ce,Flat,25.00,3,7.77,39.73,3,10.40,7910146,585488
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z210E,2013-10-05,0,10,Site 0 transect,210,Ed,Flat,9.97,3,2.05,19.47,3,4.47,7910143,585491
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z210E,2013-08-16,0,10,Site 0 transect,210,Ed,Flat,42.71,7,4.31,64.99,7,4.68,7910143,585491
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z210E,2013-09-07,0,10,Site 0 transect,210,Ed,Flat,42.13,4,2.42,64.58,4,2.52,7910143,585491
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z210E,2013-07-11,0,17,Site 0 transect,210,Ed,Flat,31.43,3,4.22,49.10,3,6.81,7910143,585491
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z210T,2013-10-05,0,10,Site 0 transect,210,Tr,Flat,67.93,3,6.86,86.97,3,5.61,7910143,585491
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z210T,2013-09-07,0,20,Site 0 transect,210,Tr,Flat,47.93,3,4.22,70.20,3,4.01,7910143,585491
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z210T,2013-07-11,0,17,Site 0 transect,210,Tr,Flat,54.63,3,6.37,76.07,3,5.32,7910143,585491
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z210T,2013-08-17,0,10,Site 0 transect,210,Tr,Flat,65.77,6,2.66,85.13,6,2.12,7910143,585491
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z415C,2013-10-04,0,10,Site 0 transect,415,Ce,Low,66.07,3,8.89,85.90,3,7.89,7910332,585385
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z415C,2013-08-16,0,10,Site 0 transect,415,Ce,Low,73.38,9,5.15,92.33,9,5.43,7910332,585385
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z415E,2013-09-07,0,10,Site 0 transect,415,Ed,Low,36.28,4,5.66,56.63,4,8.15,7910327,585384
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,Z415E,2013-10-04,0,10,Site 0 transect,415,Ed,Low,9.98,4,2.99,19.10,4,6.61,7910327,585384
